資料版本編號,附屬路線唯一識別代碼,所屬業管機關,營運業者編號,去返程 [0: 去程; 1: 返程; 2: 迴圈; 255: 未知],站牌所屬的站位唯一代碼,站牌所屬的站位代碼,站牌所屬的站名碼,站牌唯一識別代碼,地區既用中之站牌代碼,站牌中文名稱,站牌英文名稱,上下車站別 [0: 可上下車; 1: 可上車; -1: 可下車],路線經過站牌之順序,位置緯度(WGS84),位置經度(WGS84),地理識別碼,市區鄉鎮代碼,市區鄉鎮名稱,站牌位置縣市之代碼,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
VersionID,SubrouteUID,Authority,OperatorNo,Direction,StationUID,StationID,StationNameID,StopUID,StopID,StopNameZh,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,Geohash,TownID,TownName,LocationCityCode,SrcUpdateTime,UpdateTime,InfoDate
1613,TPE104220,Taipei,0301,1,TPE36072,36072,,TPE182907,182907,泰林路新北大道口,Tailin&amp;amp;New Taipei Blvd . Entrance,0,50,25.05312196,121.4382775,wsqqe2u9,16,泰山區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10712,Taipei,0813,0,TPE2001,2001,,TPE17363,17363,博物館(館前),Taiwan Museum(Guanqian),0,56,25.0441772424518,121.515057344159,wsqqmphs,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104810,Taipei,0301,0,TPE6200,6200,,TPE29400,29400,新北市政府(中山路),New Taipei City Hall(Zhongshan Rd.),-1,23,25.01262,121.46724,wsqqk13t,1,板橋區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE104620,Taipei,0301,0,TPE9407,9407,,TPE29555,29555,大直美堤花園二,Dazhi Meiti Garden 2,0,38,25.08004429,121.5568376,wsqqwjdv,4,中山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10792,Taipei,0813,0,TPE2457,2457,,TPE17088,17088,景明街口,Jingming St. Entrance,0,1,25.001808939996,121.54225915575,wsqqjz2q,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107340,Taipei,0813,1,TPE2404,2404,,TPE37869,37869,木柵公園,Muzha Park,0,29,24.98693,121.56074,wsqqnhtz,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102630,Taipei,0913,1,TPE5984,5984,,TPE35361,35361,福安國中,Fuan Junior High School,0,42,25.10333,121.48729,wsqqu9bm,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10811,Taipei,0303,1,TPE50634,50634,,TPE12536,12536,天母,Tianmu,0,1,25.1243038497111,121.532507648405,wsqqvt9r,11,士林區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107450,Taipei,0813,0,TPE1000447,1000447,,TPE22164,22164,大安健康服務中心,Daan Dist. Health Center,0,33,25.02208456,121.5434997,wsqqmg1k,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102210,Taipei,0913,0,TPE8207,8207,,TPE152380,152380,新莊高中(幸福路),Xinzhuang High School(Xingfu Rd.),0,29,25.0490066229995,121.445379037224,wsqqe81c,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107630,Taipei,0813,0,TPE8675,8675,,TPE22530,22530,民權隧道二,Minquan Tunnel 2,0,13,25.067297,121.60099,wsqqx575,10,內湖區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
